,Permutation,eval_r2,eval_mape,eval_mdape,eval_consensus
0,"DESTROYED, I(DESTROYED>9)",0.644,0.175,0.122,0.218
1,"DESTROYED, I(DESTROYED>9), I(DESTROYED>12.5)",0.629,0.174,0.113,0.219
2,"DESTROYED, I(DESTROYED>9), I(INCOME>0.69)",0.632,0.179,0.131,0.226
3,"DESTROYED, I(DESTROYED>9), INCOME",0.607,0.181,0.132,0.235
4,"DESTROYED, I(DESTROYED>12.5)",0.579,0.169,0.119,0.236
5,DESTROYED,0.582,0.169,0.132,0.240
6,"DESTROYED, I(DESTROYED>9), I(DESTROYED>12.5), I(INCOME>0.69)",0.573,0.179,0.122,0.243
7,"DESTROYED, I(DESTROYED>9), INCOME, I(INCOME>0.69)",0.583,0.187,0.139,0.248
8,"DESTROYED, I(INCOME>0.69)",0.552,0.173,0.140,0.254
9,"DESTROYED, I(DESTROYED>9), I(DESTROYED>12.5), INCOME",0.540,0.181,0.122,0.254
10,"DESTROYED, INCOME",0.529,0.177,0.142,0.263
11,"DESTROYED, I(DESTROYED>12.5), I(INCOME>0.69)",0.500,0.176,0.127,0.267
12,"DESTROYED, I(DESTROYED>9), I(DESTROYED>12.5), INCOME, I(INCOME>0.69)",0.496,0.188,0.129,0.273
13,"DESTROYED, INCOME, I(INCOME>0.69)",0.499,0.180,0.145,0.276
14,"DESTROYED, I(DESTROYED>12.5), INCOME",0.475,0.179,0.126,0.277
15,"DESTROYED, I(DESTROYED>12.5), INCOME, I(INCOME>0.69)",0.431,0.185,0.138,0.297
