,Permutation,eval_r2,eval_mape,eval_mdape,eval_consensus
0,"DESTROYED, I(DESTROYED>10.3)",0.319,0.195,0.133,0.336
1,"DESTROYED, PALMA, I(PALMA>0.044)",0.315,0.199,0.142,0.342
2,"DESTROYED, I(DESTROYED>10.3), PALMA",0.316,0.198,0.147,0.343
3,"DESTROYED, I(DESTROYED>10.3), DESTROYED×PALMA",0.311,0.200,0.146,0.345
4,"DESTROYED, I(PALMA>0.044), DESTROYED×PALMA",0.314,0.203,0.146,0.345
5,"DESTROYED, PALMA",0.295,0.190,0.160,0.352
6,DESTROYED,0.269,0.188,0.146,0.355
7,"DESTROYED, I(DESTROYED>10.3), I(PALMA>0.044)",0.272,0.208,0.131,0.356
8,"DESTROYED, DESTROYED×PALMA",0.281,0.192,0.163,0.358
9,"DESTROYED, I(DESTROYED>10.3), I(PALMA>0.044), DESTROYED×PALMA",0.271,0.212,0.145,0.362
10,"DESTROYED, I(DESTROYED>10.3), PALMA, I(PALMA>0.044)",0.259,0.208,0.142,0.364
11,"DESTROYED, I(PALMA>0.044)",0.238,0.199,0.142,0.368
12,"DESTROYED, PALMA, DESTROYED×PALMA",0.205,0.182,0.138,0.371
13,"DESTROYED, PALMA, I(PALMA>0.044), DESTROYED×PALMA",0.196,0.196,0.135,0.378
14,"DESTROYED, I(DESTROYED>10.3), PALMA, DESTROYED×PALMA",0.151,0.192,0.132,0.391
15,"DESTROYED, I(DESTROYED>10.3), PALMA, I(PALMA>0.044), DESTROYED×PALMA",0.096,0.205,0.137,0.415
