Permutation,eval_r2,eval_mape,eval_mdape,eval_consensus
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)')",0.7884488179206682,0.15130299425791616,0.11725395275789978,0.1600360430317159
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)', 'I(TENURE_SECURITY>0.81)')",0.7833728753111452,0.15075662201707804,0.11385601673885713,0.16041325448159666
"('DESTROYED', 'I(INCOME>0.7)', 'PALMA', 'AGE_DEPENDENCY', 'TENURE_SECURITY')",0.7683687681962038,0.14233371582891827,0.1085459837161271,0.1608369771162805
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'AGE_DEPENDENCY')",0.7821441319580624,0.15317872884043704,0.1138925589787527,0.16164238528704244
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'AGE_DEPENDENCY', 'I(AGE_DEPENDENCY>0.67)')",0.7842958945445903,0.1532002083638786,0.11708758143647457,0.16199729841858765
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(INCOME>0.7)', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)')",0.782378884265852,0.15393163811191773,0.1144576977321254,0.16200348385939703
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7830357540663796,0.15135262556545614,0.11798247715024232,0.1620997828831063
"('DESTROYED', 'I(INCOME>0.7)', 'AGE_DEPENDENCY', 'TENURE_SECURITY')",0.7690732185915454,0.14420334039117677,0.1122611494667978,0.1624637570888097
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)')",0.78411155055475,0.1549981781190562,0.11685504956322144,0.1625805590425092
"('DESTROYED', 'I(INCOME>0.7)', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7656626194261429,0.14147447738432595,0.11275798693834287,0.16285661496550866
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(INCOME>0.7)', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7849017073774828,0.15124219417966048,0.12239352741566407,0.16291133807261393
"('DESTROYED', 'I(INCOME>0.7)', 'PALMA', 'AGE_DEPENDENCY')",0.7651546919426857,0.14642142298808675,0.10784456016722374,0.1630370970708749
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)')",0.7778656018687796,0.15515078647461666,0.111901046727808,0.163062077111215
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(INCOME>0.7)', 'PALMA', 'I(AGE_DEPENDENCY>0.67)')",0.781260807316178,0.1573783408416699,0.11327273675552503,0.16313009009367233
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'I(AGE_DEPENDENCY>0.67)')",0.7865236828388403,0.15644059202169242,0.11968879616316884,0.16320190178200697
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.782649051453843,0.15559707236577774,0.11723021841345847,0.16339274644179774
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)', 'DESTROYED×INCOME')",0.7827572401410927,0.1530207699507178,0.12028522766752663,0.1635162524923839
"('DESTROYED', 'I(INCOME>0.7)', 'PALMA', 'I(AGE_DEPENDENCY>0.67)')",0.7618524998874113,0.14648339377445646,0.10645138510199136,0.1636940929963455
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(INCOME>0.7)', 'I(PALMA>0.06)', 'AGE_DEPENDENCY')",0.7797005448007757,0.15511442457512328,0.11614331844316837,0.16385239940583865
"('DESTROYED', 'I(INCOME>0.7)', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7682326094765037,0.14184915128629125,0.11837027458723308,0.16399560546567352
"('DESTROYED', 'I(DESTROYED>4.5)', 'INCOME', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)')",0.7813233321856443,0.15305794188198907,0.12077195473413464,0.1641688548101598
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'GRID_SMOD', 'I(AGE_DEPENDENCY>0.67)')",0.7793295307927899,0.1552053172770429,0.11762396079102065,0.16449991575842457
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'I(PALMA>0.06)')",0.7748992905598054,0.15840580724869432,0.1108080542013252,0.16477152363007136
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'I(PALMA>0.06)', 'AGE_DEPENDENCY')",0.7780944512129474,0.15716856419550668,0.11531105542067734,0.1647950561344122
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'I(TENURE_SECURITY>0.81)')",0.7811771680360817,0.15697259388377005,0.11869192432507922,0.16482911672425585
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'AGE_DEPENDENCY', 'TENURE_SECURITY')",0.7733771762893829,0.15487231454281292,0.11359134982871871,0.16502882936071625
"('DESTROYED', 'I(INCOME>0.7)', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7607366528802126,0.14088601022649636,0.11538721136618012,0.16517885623748793
