Permutation,eval_r2,eval_mape,eval_mdape,eval_consensus
"('DESTROYED', 'PALMA', 'DESTROYED×PALMA')",0.8431907079065775,0.11352767541864205,0.0859913822084828,0.11877611657351579
"('DESTROYED', 'PALMA', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.8377649579894905,0.12393353239568891,0.08161545626001726,0.12259467688873855
"('DESTROYED', 'PALMA', 'I(PALMA>0.044)', 'DESTROYED×PALMA')",0.8230668061344193,0.12221450872073361,0.10013339780769716,0.13309370013133717
"('DESTROYED', 'PALMA', 'I(PALMA>0.044)', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.8166626943195026,0.13404398519584815,0.0990831865095454,0.13882149246196365
"('DESTROYED',)",0.780099017497794,0.1275413262552205,0.06923460072005805,0.13889230315916154
"('DESTROYED', 'I(DESTROYED>8.9)', 'PALMA', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.8256336644095129,0.1660607149925549,0.09278504480796362,0.14440403179700187
"('DESTROYED', 'I(DESTROYED>5.5)', 'PALMA', 'DESTROYED×PALMA')",0.7761609875199202,0.12766885186403246,0.08825083425219815,0.1465862328654368
"('DESTROYED', 'I(DESTROYED>8.9)', 'PALMA', 'DESTROYED×PALMA')",0.8117484571003842,0.16262754310083433,0.08958041611521225,0.14681983403855411
"('DESTROYED', 'I(PALMA>0.044)')",0.7656293169174851,0.1397222358604761,0.08145355795251047,0.1518488256318338
"('DESTROYED', 'I(DESTROYED>5.5)')",0.7616473262384982,0.14283516793695386,0.08326067925825367,0.15481617365223646
"('DESTROYED', 'I(DESTROYED>8.9)')",0.7569847248892079,0.14633475683657823,0.0757807677727565,0.15504359990670893
"('DESTROYED', 'I(DESTROYED>8.9)', 'PALMA', 'I(PALMA>0.044)', 'DESTROYED×PALMA')",0.7921959725189434,0.16926587937257204,0.09179252468557055,0.15628747717973307
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(DESTROYED>8.9)')",0.7523229462908363,0.14920552734650008,0.07757380008510048,0.15815212704692141
"('DESTROYED', 'I(DESTROYED>5.5)', 'PALMA', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.7448349217324257,0.13420608819890337,0.08638074566973666,0.15858397071207145
"('DESTROYED', 'PALMA', 'I(PALMA>0.044)')",0.7719915912562701,0.1555378977154685,0.09574969166243313,0.1597653327072105
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(PALMA>0.044)')",0.7557889872569578,0.14504665409951017,0.09094154442841748,0.16006640375698997
"('DESTROYED', 'DESTROYED×PALMA')",0.7721161180770518,0.15701065326437613,0.09719806249469022,0.1606975325606715
"('DESTROYED', 'I(DESTROYED>5.5)', 'PALMA', 'I(PALMA>0.044)', 'DESTROYED×PALMA')",0.7560921602310728,0.1359414186887476,0.10392388899198673,0.16125771581655382
"('DESTROYED', 'PALMA')",0.7855876545628544,0.15992259167391276,0.11129567542060895,0.1618768708438891
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(DESTROYED>8.9)', 'I(PALMA>0.044)')",0.7466171874421393,0.1520414698186167,0.0824119500464903,0.16261207747432255
"('DESTROYED', 'PALMA', 'I(PALMA>0.07)')",0.7743538673273452,0.16281150336574737,0.10294205109432891,0.16379989571091036
"('DESTROYED', 'I(PALMA>0.07)')",0.7751189120419889,0.16830952073443303,0.1038427065978781,0.16567777176344076
"('DESTROYED', 'I(DESTROYED>8.9)', 'I(PALMA>0.044)')",0.7488795393045264,0.1547543728782519,0.09363867191629176,0.16650450183000573
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(DESTROYED>8.9)', 'PALMA', 'DESTROYED×PALMA')",0.7660193958797257,0.17432363652337038,0.09211332338803148,0.1668058546772254
"('DESTROYED', 'I(PALMA>0.044)', 'DESTROYED×PALMA')",0.750425265542341,0.16017013964580165,0.09116126020304688,0.16696871143550251
"('DESTROYED', 'PALMA', 'I(PALMA>0.044)', 'I(PALMA>0.07)')",0.756714515642116,0.16144850924080206,0.0981470636867221,0.16762701909513603
"('DESTROYED', 'I(DESTROYED>5.5)', 'DESTROYED×PALMA')",0.7424216082209518,0.1592231759246036,0.10085728091032836,0.17255294953799338
"('DESTROYED', 'I(PALMA>0.044)', 'I(PALMA>0.07)')",0.7558417162002032,0.17112767733184472,0.10291598343515702,0.17273398152226616
"('DESTROYED', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.7629787545906874,0.18003969563673766,0.1092152375408283,0.17542539286229286
"('DESTROYED', 'I(DESTROYED>5.5)', 'PALMA')",0.7441034825916797,0.16281380337534496,0.10925646603975386,0.1759889289411397
"('DESTROYED', 'I(DESTROYED>5.5)', 'PALMA', 'I(PALMA>0.07)')",0.7287178621692819,0.15675272703221266,0.10910655458884791,0.17904713981725953
"('DESTROYED', 'I(DESTROYED>8.9)', 'I(PALMA>0.07)')",0.763379918007401,0.18836649626943708,0.1138727318367325,0.17961977003292284
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(PALMA>0.07)')",0.724161926022459,0.1602469559476581,0.1051910273363462,0.18042535242051508
"('DESTROYED', 'I(PALMA>0.044)', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.7418516803815409,0.1800179869913584,0.10627908715398418,0.1814817979212672
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(DESTROYED>8.9)', 'DESTROYED×PALMA')",0.7144087365358822,0.17545586371293934,0.09167810409457455,0.18424174375721056
"('DESTROYED', 'I(DESTROYED>5.5)', 'PALMA', 'I(PALMA>0.044)')",0.7229643116571445,0.15936003114693914,0.11757206623821922,0.18465592857600463
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.7114638774060575,0.16729681581068076,0.10122172659067055,0.18568488833176458
